WEEK_NO,min_day,max_day,observed_days,sales,baskets,active_households,discounts,sales_per_day,baskets_per_day,new_households,active_campaigns
1,1,5,5,5211.159999999939,142,88,1056.7400000000023,1042.2319999999877,28.4,88,0
2,6,12,7,10821.34999999987,324,175,2174.2900000000013,1545.9071428571242,46.285714285714285,129,0
3,13,19,7,13498.199999999906,482,228,2639.590000000004,1928.3142857142723,68.85714285714286,113,0
4,20,26,7,15965.989999999923,545,270,2972.689999999984,2280.8557142857035,77.85714285714286,118,0
5,27,33,7,20139.820000000218,757,370,4065.7599999999543,2877.117142857174,108.14285714285714,138,0
6,34,40,7,24923.900000000773,861,433,5281.689999999903,3560.5571428572534,123.0,119,0
7,41,47,7,28073.97000000116,999,491,4895.4099999999235,4010.5671428573087,142.71428571428572,131,0
8,48,54,7,31793.770000001612,1086,530,5850.529999999889,4541.967142857373,155.14285714285714,132,0
9,55,61,7,31244.170000001628,1212,622,6011.159999999838,4463.45285714309,173.14285714285714,129,0
10,62,68,7,42994.380000000085,1553,708,8866.869999999817,6142.054285714298,221.85714285714286,140,0
11,69,75,7,51011.29999999942,1823,846,9040.14999999978,7287.328571428488,260.42857142857144,179,0
12,76,82,7,53187.299999998875,1926,905,10572.079999999893,7598.185714285553,275.14285714285717,171,0
13,83,89,7,55203.00999999831,2203,972,10694.7799999999,7886.144285714044,314.7142857142857,152,0
14,90,96,7,62875.19999999763,2433,1119,13606.540000000055,8982.17142857109,347.57142857142856,166,0
15,97,103,7,74261.2899999987,2743,1156,16893.570000000294,10608.755714285528,391.85714285714283,167,0
16,104,110,7,79135.00999999949,2840,1309,15295.560000000221,11305.001428571355,405.7142857142857,197,0
17,111,117,7,79556.34999999903,3048,1371,14141.840000000067,11365.192857142718,435.42857142857144,194,0
18,118,124,7,75968.17999999848,3080,1313,13292.60000000002,10852.597142856926,440.0,28,0
19,125,131,7,72536.87999999731,2973,1268,12762.020000000131,10362.411428571044,424.7142857142857,1,0
20,132,138,7,86108.89999999947,3091,1319,17218.30999999985,12301.271428571354,441.57142857142856,1,0
21,139,145,7,83262.330000001,2999,1312,14677.23000000008,11894.618571428715,428.42857142857144,0,0
22,146,152,7,79133.8199999994,3092,1313,13438.080000000036,11304.831428571342,441.7142857142857,0,0
23,153,159,7,76069.34999999829,2947,1290,12891.069999999809,10867.049999999756,421.0,1,0
24,160,166,7,88706.1000000011,3112,1335,16916.590000000313,12672.300000000158,444.57142857142856,0,0
25,167,173,7,88926.81999999737,3094,1345,15649.179999999806,12703.831428571053,442.0,0,0
26,174,180,7,79208.91999999782,2891,1303,13516.860000000017,11315.559999999688,413.0,0,0
27,181,187,7,79909.07999999929,2845,1266,14137.460000000092,11415.582857142756,406.42857142857144,0,0
28,188,194,7,78556.19999999908,2783,1286,12654.770000000175,11222.314285714154,397.57142857142856,0,0
29,195,201,7,89026.97999999908,2997,1331,16314.240000000269,12718.139999999868,428.14285714285717,0,0
30,202,208,7,80131.86000000034,2894,1285,13703.619999999797,11447.40857142862,413.42857142857144,0,0
31,209,215,7,77643.88000000102,2820,1278,15307.089999999798,11091.982857143003,402.85714285714283,1,0
32,216,222,7,76723.94999999943,2910,1280,13161.989999999882,10960.564285714205,415.7142857142857,1,0
33,223,229,7,85802.29000000094,2957,1305,15865.449999999764,12257.470000000134,422.42857142857144,0,1
34,230,236,7,81676.12999999993,2871,1292,15717.250000000002,11668.018571428562,410.14285714285717,0,1
35,237,243,7,82983.8300000007,2785,1262,15782.999999999924,11854.832857142957,397.85714285714283,0,2
36,244,250,7,84083.88999999793,3022,1325,14728.279999999879,12011.98428571399,431.7142857142857,0,2
37,251,257,7,87324.25000000045,2958,1316,15313.199999999835,12474.892857142922,422.57142857142856,0,2
38,258,264,7,90906.21000000168,2894,1284,15817.269999999944,12986.601428571668,413.42857142857144,0,3
39,265,271,7,82427.44999999728,2883,1295,14077.549999999957,11775.349999999611,411.85714285714283,0,2
40,272,278,7,89984.76000000216,2794,1278,14438.149999999985,12854.965714286023,399.14285714285717,1,2
41,279,285,7,83638.5900000004,2982,1308,14609.25000000008,11948.370000000057,426.0,0,3
42,286,292,7,93370.28999999896,2919,1318,15869.789999999812,13338.612857142709,417.0,0,3
43,293,299,7,83953.86999999973,2849,1289,14856.39000000015,11993.409999999962,407.0,0,3
44,300,306,7,83093.8199999994,3001,1318,16209.140000000203,11870.545714285628,428.7142857142857,0,3
45,307,313,7,79682.32999999964,2861,1290,15176.430000000095,11383.189999999948,408.7142857142857,0,2
46,314,320,7,95878.07999999828,3086,1335,16060.54999999981,13696.868571428326,440.85714285714283,0,2
47,321,327,7,89835.46000000037,2926,1286,14369.109999999999,12833.637142857197,418.0,0,2
48,328,334,7,80300.27999999905,2866,1300,13913.580000000069,11471.468571428437,409.42857142857144,0,2
49,335,341,7,85805.49999999994,2944,1305,15153.610000000175,12257.928571428563,420.57142857142856,0,1
50,342,348,7,90219.68000000212,2932,1332,16178.08999999999,12888.525714286017,418.85714285714283,0,2
51,349,355,7,85529.5299999981,2982,1302,15680.22999999988,12218.504285714016,426.0,0,3
52,356,362,7,84886.48999999852,2939,1299,16246.679999999886,12126.641428571218,419.85714285714283,0,4
53,363,369,7,83239.75000000116,2868,1288,15434.010000000224,11891.392857143024,409.7142857142857,0,4
54,370,376,7,87914.89000000137,2932,1315,16133.739999999887,12559.270000000195,418.85714285714283,0,4
55,377,383,7,87062.48000000155,3005,1334,17383.09000000029,12437.497142857364,429.2857142857143,0,5
56,384,390,7,89058.0399999984,2963,1334,15672.479999999965,12722.577142856913,423.2857142857143,0,3
57,391,397,7,82604.9099999986,2957,1291,13995.280000000203,11800.70142857123,422.42857142857144,0,4
58,398,404,7,83694.69000000032,2859,1286,14137.059999999994,11956.384285714332,408.42857142857144,0,5
59,405,411,7,96701.23000000256,3083,1391,16585.60000000025,13814.461428571794,440.42857142857144,0,4
60,412,418,7,90987.01000000234,3142,1386,16343.230000000018,12998.14428571462,448.85714285714283,0,4
61,419,425,7,90585.62999999899,3156,1391,17171.69999999986,12940.80428571414,450.85714285714283,0,3
62,426,432,7,88184.50000000109,3054,1362,18409.03000000044,12597.78571428587,436.2857142857143,0,2
63,433,439,7,92808.76000000075,3107,1361,17124.880000000067,13258.394285714394,443.85714285714283,1,2
64,440,446,7,91182.23000000142,3046,1335,16358.680000000146,13026.03285714306,435.14285714285717,0,2
65,447,453,7,87397.5700000019,3067,1343,14366.199999999932,12485.367142857414,438.14285714285717,0,2
66,454,460,7,77688.26000000046,2965,1283,15465.739999999802,11098.322857142923,423.57142857142856,0,2
67,461,467,7,90950.7300000022,3079,1337,21047.350000000526,12992.961428571742,439.85714285714283,0,2
68,468,474,7,97967.0499999988,3283,1410,18925.849999999682,13995.292857142686,469.0,0,1
69,475,481,7,86409.91000000213,3033,1318,14310.140000000216,12344.272857143162,433.2857142857143,0,3
70,482,488,7,84986.99000000102,3004,1315,14384.360000000079,12140.998571428718,429.14285714285717,0,3
71,489,495,7,83873.19999999915,2991,1338,14558.210000000052,11981.885714285594,427.2857142857143,0,3
72,496,502,7,96930.47000000284,3209,1407,17907.66000000026,13847.210000000405,458.42857142857144,0,2
73,503,509,7,87531.26000000001,3052,1339,15842.75999999984,12504.465714285716,436.0,0,3
74,510,516,7,85641.31000000158,2999,1309,14603.370000000175,12234.472857143084,428.42857142857144,0,2
75,517,523,7,83162.9899999993,2978,1328,14717.879999999834,11880.427142857045,425.42857142857144,0,2
76,524,530,7,88851.4000000014,2976,1332,17784.000000000222,12693.057142857344,425.14285714285717,0,1
77,531,537,7,92161.44000000216,3004,1355,16127.950000000046,13165.920000000307,429.14285714285717,0,2
78,538,544,7,81102.03000000071,2825,1295,13265.720000000118,11586.004285714387,403.57142857142856,0,2
79,545,551,7,82474.62000000117,2943,1365,15813.320000000336,11782.08857142874,420.42857142857144,0,3
80,552,558,7,83203.7500000004,3006,1325,13725.82999999978,11886.250000000056,429.42857142857144,0,2
81,559,565,7,90168.04000000088,2988,1348,14939.980000000347,12881.148571428697,426.85714285714283,0,3
82,566,572,7,86945.12000000068,3006,1360,13467.87000000014,12420.731428571526,429.42857142857144,0,3
83,573,579,7,83200.92000000108,2945,1347,13570.350000000075,11885.845714285868,420.7142857142857,0,4
84,580,586,7,85936.41999999867,2923,1293,14512.000000000015,12276.63142857124,417.57142857142856,0,4
85,587,593,7,97663.46000000277,3132,1398,18629.380000000292,13951.922857143252,447.42857142857144,0,5
86,594,600,7,86445.24000000114,2930,1341,15006.550000000118,12349.320000000163,418.57142857142856,0,4
87,601,607,7,91391.46999999983,2909,1355,16434.149999999798,13055.924285714262,415.57142857142856,0,4
88,608,614,7,92469.59000000104,3093,1372,16303.450000000223,13209.941428571577,441.85714285714283,1,3
89,615,621,7,90544.75999999855,2893,1328,15441.169999999853,12934.965714285509,413.2857142857143,0,4
90,622,628,7,92939.24000000232,2915,1356,16296.350000000177,13277.034285714617,416.42857142857144,0,6
91,629,635,7,86923.35000000065,2933,1342,15125.52000000007,12417.621428571521,419.0,0,6
92,636,642,7,113192.87000000358,3362,1428,18587.790000000386,16170.410000000511,480.2857142857143,0,5
93,643,649,7,80832.15999999933,2547,1244,14971.310000000167,11547.451428571334,363.85714285714283,0,5
94,650,656,7,96964.23999999792,3005,1363,17115.279999999824,13852.03428571399,429.2857142857143,0,5
95,657,663,7,88895.06000000131,2878,1335,16906.210000000017,12699.294285714472,411.14285714285717,0,5
96,664,670,7,86810.1099999985,2824,1309,15531.66999999991,12401.444285714071,403.42857142857144,0,5
97,671,677,7,88839.26000000005,2913,1332,17836.140000000316,12691.322857142864,416.14285714285717,1,5
98,678,684,7,98949.6200000026,3037,1384,18886.440000000515,14135.660000000371,433.85714285714283,0,5
99,685,691,7,101363.92000000051,2851,1325,15378.589999999927,14480.560000000072,407.2857142857143,0,4
100,692,698,7,93063.10000000263,2793,1313,14006.270000000064,13294.728571428946,399.0,0,2
101,699,705,7,84407.24999999716,2682,1269,14515.509999999966,12058.178571428167,383.14285714285717,0,2
102,706,711,6,71968.62999999797,2383,1205,11701.729999999961,11994.771666666327,397.1666666666667,0,2
